index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-14 11:08:43.626364
1,24801.626953125,-44.22088157361573,False,2023-06-14 11:08:43.643418
2,24801.626953125,-44.01461669087051,False,2023-06-14 11:08:43.660967
3,24801.51953125,-43.83126709279069,True,2023-06-14 11:08:44.767418
4,24801.2109375,-43.67082594918709,True,2023-06-14 11:08:44.767629
5,24801.626953125,-43.33279647206857,False,2023-06-14 11:08:43.721717
6,24801.626953125,-43.10361630465797,False,2023-06-14 11:08:43.738530
7,24801.626953125,-42.89162089319911,False,2023-06-14 11:08:43.760747
8,24801.626953125,-42.67389495302662,False,2023-06-14 11:08:43.777439
9,24801.626953125,-42.433253728188724,False,2023-06-14 11:08:43.824566
10,24801.626953125,-42.19261250335084,False,2023-06-14 11:08:43.840483
11,24801.626953125,-41.963428920845644,False,2023-06-14 11:08:43.925149
12,24810.78125,-41.73424533834045,False,2023-06-14 11:08:43.940254
13,24829.08984375,-41.505311057739966,True,2023-06-14 11:08:44.767726
14,24801.626953125,-41.29306975947099,False,2023-06-14 11:08:43.978889
15,24801.626953125,-41.063886176965795,False,2023-06-14 11:08:44.026888
16,24801.626953125,-40.84043312317424,False,2023-06-14 11:08:44.042557
17,24801.626953125,-40.622707183001744,False,2023-06-14 11:08:44.084209
18,24801.626953125,-40.40498465792383,False,2023-06-14 11:08:44.100830
19,24801.626953125,-40.18726213284592,True,2023-06-14 11:08:44.767824
20,24801.626953125,-39.96380566395979,False,2023-06-14 11:08:44.171249
21,24801.626953125,-39.734622081454596,False,2023-06-14 11:08:44.218545
22,24801.626953125,-39.511169027663044,False,2023-06-14 11:08:44.234674
23,24801.626953125,-39.28198544515785,False,2023-06-14 11:08:44.284662
24,24801.626953125,-39.06426292007994,False,2023-06-14 11:08:44.300482
25,24801.5703125,-38.857998037334724,True,2023-06-14 11:08:44.767979
26,24801.626953125,-39.06426292007994,False,2023-06-14 11:08:44.359854
27,24801.626953125,-38.83507933757475,False,2023-06-14 11:08:44.376803
28,24801.626953125,-38.611626283783195,False,2023-06-14 11:08:44.394459
29,24801.626953125,-38.393900343610696,False,2023-06-14 11:08:44.429024
30,24801.626953125,-38.18190834724643,False,2023-06-14 11:08:44.449961
31,24792.470703125,-37.96418240707393,False,2023-06-14 11:08:44.503886
32,24774.1875,-37.7404732211885,True,2023-06-14 11:08:44.768091
33,24792.470703125,-37.51154577077718,False,2023-06-14 11:08:44.537788
34,24792.470703125,-37.31101141674561,False,2023-06-14 11:08:44.555511
35,24792.470703125,-37.10474653400039,False,2023-06-14 11:08:44.574026
36,24792.470703125,-36.88129348020884,False,2023-06-14 11:08:44.596500
37,24792.470703125,-36.66357095513093,False,2023-06-14 11:08:44.616559
38,24792.470703125,-36.474494243432055,False,2023-06-14 11:08:44.633576
39,24792.470703125,-36.23384960349958,False,2023-06-14 11:08:44.651286
40,24792.470703125,-36.02185760713531,False,2023-06-14 11:08:44.668691
41,24792.470703125,-35.81559272439009,False,2023-06-14 11:08:44.766480
42,24792.470703125,-35.603597312931235,False,2023-06-14 11:08:44.781470
43,24783.31640625,-35.38014425913968,False,2023-06-14 11:08:44.798883
44,24783.31640625,-35.17387937639447,False,2023-06-14 11:08:44.816884
45,24792.390625,-34.985028060938205,True,2023-06-14 11:08:45.854932
46,24783.31640625,-34.72124274009772,False,2023-06-14 11:08:44.853875
47,24783.31640625,-34.51497785735251,False,2023-06-14 11:08:44.871419
48,24783.31640625,-34.302982445893655,False,2023-06-14 11:08:44.888818
49,24783.31640625,-34.07379886338846,False,2023-06-14 11:08:44.907368
50,24783.31640625,-33.85034580959691,False,2023-06-14 11:08:44.924679
51,24783.31640625,-33.621162227091716,False,2023-06-14 11:08:44.965269
52,24792.470703125,-33.403439702013806,False,2023-06-14 11:08:44.982625
53,24783.31640625,-33.185717176935896,False,2023-06-14 11:08:45.000305
54,24783.31640625,-32.962260708049754,False,2023-06-14 11:08:45.017544
55,24783.31640625,-32.744538182971844,False,2023-06-14 11:08:45.034737
56,24783.31640625,-32.51535460046665,False,2023-06-14 11:08:45.052405
57,24783.31640625,-32.280440489247816,False,2023-06-14 11:08:45.072159
58,24783.31640625,-32.062717964169906,False,2023-06-14 11:08:45.089648
59,24783.232421875,-31.86218361013833,True,2023-06-14 11:08:45.855053
