index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-14 09:54:21.348900
1,24801.626953125,-44.22088157361573,False,2023-06-14 09:54:21.366077
2,24801.626953125,-44.01461669087051,False,2023-06-14 09:54:21.383681
3,24792.470703125,-43.79116363707896,False,2023-06-14 09:54:21.401624
4,24801.626953125,-43.561980054573766,False,2023-06-14 09:54:21.418611
5,24801.626953125,-43.33279647206857,False,2023-06-14 09:54:21.436628
6,24792.470703125,-43.103356757469506,True,2023-06-14 09:54:22.494375
7,24774.162109375,-42.87339794849352,True,2023-06-14 09:54:22.494397
8,24801.626953125,-42.67389495302662,False,2023-06-14 09:54:21.490686
9,24801.626953125,-42.433253728188724,False,2023-06-14 09:54:21.508339
10,24801.626953125,-42.19261250335084,False,2023-06-14 09:54:21.526288
11,24801.626953125,-41.963428920845644,False,2023-06-14 09:54:21.544316
12,24810.78125,-41.73424533834045,False,2023-06-14 09:54:21.562469
13,24829.08984375,-41.505311057739966,True,2023-06-14 09:54:22.494402
14,24801.626953125,-41.29306975947099,False,2023-06-14 09:54:21.597771
15,24728.314453125,-41.09639446232047,True,2023-06-14 09:54:22.494407
16,24609.08203125,-40.91431869452086,True,2023-06-14 09:54:22.494426
17,24801.626953125,-40.622707183001744,False,2023-06-14 09:54:21.651151
18,24801.626953125,-40.40498465792383,False,2023-06-14 09:54:21.668311
19,24801.626953125,-40.18153160413228,False,2023-06-14 09:54:21.685669
20,24801.626953125,-39.96380566395979,False,2023-06-14 09:54:21.703405
21,24801.626953125,-39.734622081454596,False,2023-06-14 09:54:21.720876
22,24801.626953125,-39.511169027663044,False,2023-06-14 09:54:21.738462
23,24801.626953125,-39.28198544515785,False,2023-06-14 09:54:21.755539
24,24801.626953125,-39.06426292007994,False,2023-06-14 09:54:21.772922
25,24801.5703125,-38.857998037334724,True,2023-06-14 09:54:22.494430
26,24801.626953125,-39.06426292007994,False,2023-06-14 09:54:21.809435
27,24801.626953125,-38.83507933757475,False,2023-06-14 09:54:21.826660
28,24801.626953125,-38.611626283783195,False,2023-06-14 09:54:21.844783
29,24801.59765625,-38.393900343610696,True,2023-06-14 09:54:22.494434
30,24801.51171875,-38.181894686868084,True,2023-06-14 09:54:22.494438
31,24792.470703125,-37.96418240707393,False,2023-06-14 09:54:21.899748
32,24792.470703125,-37.740729353282376,False,2023-06-14 09:54:21.917215
33,24792.470703125,-37.51154577077718,False,2023-06-14 09:54:21.935361
34,24792.470703125,-37.31101141674561,False,2023-06-14 09:54:21.955430
35,24792.470703125,-37.10474653400039,False,2023-06-14 09:54:21.971148
36,24792.470703125,-36.88129348020884,False,2023-06-14 09:54:21.988393
37,24792.470703125,-36.66357095513093,False,2023-06-14 09:54:22.005661
38,24792.470703125,-36.474494243432055,False,2023-06-14 09:54:22.025786
39,24792.470703125,-36.23384960349958,False,2023-06-14 09:54:22.042947
40,24792.470703125,-36.02185760713531,False,2023-06-14 09:54:22.061115
41,24792.333984375,-35.83851483924465,True,2023-06-14 09:54:22.494444
42,24792.470703125,-35.603597312931235,False,2023-06-14 09:54:22.095901
43,24783.31640625,-35.38014425913968,False,2023-06-14 09:54:22.115536
44,24783.31640625,-35.17387937639447,False,2023-06-14 09:54:22.131459
45,24792.390625,-34.985028060938205,True,2023-06-14 09:54:22.494463
46,24783.31640625,-34.72124274009772,False,2023-06-14 09:54:22.166374
47,24756.544921875,-34.38186430061813,True,2023-06-14 09:54:22.494469
