index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-14 10:33:11.377063
1,24801.626953125,-44.22088157361573,False,2023-06-14 10:33:11.395293
2,24801.626953125,-44.01461669087051,False,2023-06-14 10:33:11.412810
3,24792.470703125,-43.79116363707896,False,2023-06-14 10:33:11.435040
4,24801.626953125,-43.561980054573766,False,2023-06-14 10:33:11.453233
5,24801.626953125,-43.33279647206857,False,2023-06-14 10:33:11.470718
6,24792.470703125,-43.103356757469506,True,2023-06-14 10:33:12.516167
7,24801.626953125,-42.89162089319911,False,2023-06-14 10:33:11.512954
8,24829.0078125,-42.69803967174261,True,2023-06-14 10:33:12.516185
9,24801.626953125,-42.433253728188724,False,2023-06-14 10:33:11.557933
10,24801.626953125,-42.19261250335084,False,2023-06-14 10:33:11.587526
11,24801.626953125,-41.963428920845644,False,2023-06-14 10:33:11.592369
12,24810.78125,-41.73424533834045,False,2023-06-14 10:33:11.614395
13,24810.78125,-41.50506175583526,False,2023-06-14 10:33:11.630258
14,24801.626953125,-41.29306975947099,False,2023-06-14 10:33:11.646933
15,24783.236328125,-41.098050783194196,True,2023-06-14 10:33:12.516190
16,24801.626953125,-40.84043312317424,False,2023-06-14 10:33:11.695952
17,24857.162109375,-40.52150427006967,True,2023-06-14 10:33:12.516194
18,24801.626953125,-40.40498465792383,False,2023-06-14 10:33:11.730454
19,24801.626953125,-40.18153160413228,False,2023-06-14 10:33:11.748027
20,24801.626953125,-39.96380566395979,False,2023-06-14 10:33:11.848168
21,24801.626953125,-39.734622081454596,False,2023-06-14 10:33:11.864518
22,24801.685546875,-39.49397744152212,True,2023-06-14 10:33:12.516198
23,24801.8671875,-39.24187174416237,True,2023-06-14 10:33:12.516386
24,24801.626953125,-39.06426292007994,False,2023-06-14 10:33:11.944001
25,24801.626953125,-38.823621695242046,False,2023-06-14 10:33:11.965106
26,24801.626953125,-39.06426292007994,False,2023-06-14 10:33:12.045195
27,24801.626953125,-38.83507933757475,False,2023-06-14 10:33:12.061437
28,24801.626953125,-38.611626283783195,False,2023-06-14 10:33:12.081088
29,24801.626953125,-38.393900343610696,False,2023-06-14 10:33:12.106484
30,24801.626953125,-38.18190834724643,False,2023-06-14 10:33:12.122009
31,24792.470703125,-37.96418240707393,False,2023-06-14 10:33:12.139643
32,24792.470703125,-37.740729353282376,False,2023-06-14 10:33:12.162284
33,24792.470703125,-37.51154577077718,False,2023-06-14 10:33:12.180445
34,24792.470703125,-37.31101141674561,False,2023-06-14 10:33:12.197281
35,24792.470703125,-37.10474653400039,False,2023-06-14 10:33:12.215793
