84 : 84 | Magnitude: 24755.849609375 | Phase_angle: -26.590971457802652
85 : 85 | Magnitude: 24755.849609375 | Phase_angle: -26.36178787529746
86 : 86 | Magnitude: 24755.849609375 | Phase_angle: -26.11541612174593
87 : 87 | Magnitude: 24755.849609375 | Phase_angle: -26.33314035437113
88 : 43521 | Magnitude: 24758.134765625 | Phase_angle: -27.01491276184888
89 : 89 | Magnitude: 24765.005859375 | Phase_angle: -25.86331554702805
90 : 43521 | Magnitude: 24790.619140625 | Phase_angle: -24.70750069039474
91 : 91 | Magnitude: 24755.849609375 | Phase_angle: -25.404948382017665
92 : 92 | Magnitude: 24755.849609375 | Phase_angle: -25.164307157179774
93 : 93 | Magnitude: 24765.005859375 | Phase_angle: -24.923664224794592
94 : 94 | Magnitude: 24765.005859375 | Phase_angle: -24.694480642289403
95 : 95 | Magnitude: 24765.005859375 | Phase_angle: -24.46529705978421
96 : 96 | Magnitude: 24765.005859375 | Phase_angle: -24.22465583494632
97 : 97 | Magnitude: 24765.005859375 | Phase_angle: -23.984012902561137
98 : 98 | Magnitude: 24765.005859375 | Phase_angle: -23.743371677723246
99 : 99 | Magnitude: 24765.005859375 | Phase_angle: -23.514188095218056
100 : 100 | Magnitude: 24765.005859375 | Phase_angle: -23.273545162832875
101 : 101 | Magnitude: 24765.005859375 | Phase_angle: -23.044363287874972
102 : 102 | Magnitude: 24765.005859375 | Phase_angle: -22.81517970536978
103 : 103 | Magnitude: 24765.005859375 | Phase_angle: -22.574536772984597
104 : 104 | Magnitude: 24765.005859375 | Phase_angle: -22.33389554814671
105 : 105 | Magnitude: 24765.005859375 | Phase_angle: -22.104711965641517
106 : 106 | Magnitude: 24765.005859375 | Phase_angle: -21.875528383136324
107 : 107 | Magnitude: 24765.005859375 | Phase_angle: -21.640615979464783
108 : 108 | Magnitude: 24765.005859375 | Phase_angle: -21.41143239695959
109 : 109 | Magnitude: 24765.005859375 | Phase_angle: -21.1707911721217
110 : 110 | Magnitude: 24765.005859375 | Phase_angle: -20.930148239736518
111 : 111 | Magnitude: 24774.16015625 | Phase_angle: -20.695235836064978
