magnitude	orig
12469.47754	12460.32247
12460.32227	12460.32247
12460.32227	12460.32247
12452.09473	12469.47774
12464.6582	12469.47774
12464.6582	12469.47774
12469.47754	12487.78828
12469.47754	12487.78828
12487.78809	12487.78828
12487.78809	12469.47774
12487.78809	12469.47774
12467.19629	12469.47774
12469.47754	12487.78828
12487.78809	12469.47774
12487.78809	12460.32247
12469.47656	12460.32247
12462.39355	12451.1672
12460.32227	12451.1672
12451.16699	12451.1672
12451.16699	12451.1672
12451.16699	12451.1672
12451.16699	12460.32247
12451.16699	12460.32247
12454.08008	12460.32247
12460.32227	12460.32247
12460.32227	12451.1672
12460.32227	12451.1672
12451.16699	12451.1672
12451.16602	12460.32247
12451.16699	12460.32247
12451.11914	12451.1672
12460.32227	12451.1672
12462.53613	12451.1672
12451.11719	12451.1672
12451.16699	12460.32247
12451.16699	12460.32247
12451.16699	12460.32247
12451.42188	12460.32247
12460.32227	12460.32247
12460.32227	12469.47774
12461.89258	12460.32247
12452.03711	12469.47774
12460.32129	12460.32247
12463.97168	12451.1672
12463.98145	12451.1672
12460.32227	12460.32247
12450.00293	12460.32247
12448.55957	12460.32247
12453.06445	12460.32247
12460.32227	12469.47774
12460.32129	12469.47774
12460.32129	12469.47774
12469.47754	12469.47774
12469.47754	12469.47774
12469.47754	12487.78828
12469.47754	12487.78828
