chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,Magnitude17,Angle17,Magnitude18,Angle18,Magnitude19,Angle19,Magnitude20,Angle20,Magnitude21,Angle21,Magnitude22,Angle22,Magnitude23,Angle23,Magnitude24,Angle24,Magnitude25,Angle25,Magnitude26,Angle26,Magnitude27,Angle27,Magnitude28,Angle28,Magnitude29,Angle29,Magnitude30,Angle30,Magnitude31,Angle31,Magnitude32,Angle32,DIModule01
2014-01-28 18:00:13.583000000,2014-01-28 23:00:13.583000000,3,22,4096,60.033999999999999,-0.001,12194.819640000002,-37.030262299305107,12203.974910000001,-157.02481333355342,12222.285450000001,82.935640845186668,27951.039310000004,-36.66356931042138,28070.057820000002,-156.92168093042989,28088.368360000004,83.13617607348246,12176.509100000001,-36.49168197188213,12203.974910000001,-156.49196258408176,12194.819640000002,83.199201430946843,0,0,0,0,0,0,0,0,281.98016000000001,-33.913371893793432,297.08624000000003,-154.68141595146835,244.90160000000003,86.327550992361139,283.35344000000003,-70.393594709772941,280.60688000000005,169.24600310369388,285.64224000000002,49.709818305550229,25.63456,8.118811957003766,46.691520000000004,-142.16228812785985,44.860480000000003,102.17556360567971,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,80.196902584461327,0.45776000000000006,4.314372197335099,0.91552000000000011,-149.22112816387161,0,0,0,0,0
2014-01-28 18:00:13.600000000,2014-01-28 23:00:13.600000000,3,22,4096,60.033999999999999,0,12194.819640000002,-36.823997493058009,12203.974910000001,-156.81281894935501,12222.285450000001,83.147635229385074,27951.039310000004,-36.463034082125588,28070.057820000002,-156.72114570213409,28088.368360000004,83.336711301778237,12176.509100000001,-36.285417165635039,12203.974910000001,-156.28569777783466,12194.819640000002,83.405466237193934,0,0,0,0,0,0,0,0,282.43792000000002,-33.741484555254182,298.00176000000005,-154.47515114522125,245.35936000000001,86.568193266316086,285.18448000000001,-69.855014382349978,282.89568000000003,169.98511865941265,288.3888,50.288505678632355,25.176800000000004,8.9266824481382265,46.233760000000004,-141.82424302873267,44.860480000000003,102.42766503553727,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,80.976125185839251,0.45776000000000006,4.4346933343125716,0.91552000000000011,-148.81432812932871,0,0,0,0,0
2014-01-28 18:00:13.617000000,2014-01-28 23:00:13.617000000,3,22,4096,60.033999999999999,0,12194.819640000002,-36.623462264762225,12203.974910000001,-156.61228372105924,12222.285450000001,83.336711301778237,27951.039310000004,-36.262498853829804,28070.057820000002,-156.51488089588699,28088.368360000004,83.525787374171415,12176.509100000001,-36.084881937339247,12213.13018,-156.07370339363626,12194.819640000002,83.606001465489726,0,0,0,0,0,0,0,0,281.98016000000001,-33.472194391542693,298.45952,-154.27461591692548,243.98608000000002,86.757269338709264,286.55776000000003,-69.660208732005486,283.35344000000003,170.34608207034506,290.21984000000003,50.615091621856926,25.176800000000004,9.1042993646287815,46.691520000000004,-141.55495286502119,44.860480000000003,102.41620587963466,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,80.94747729608271,0.45776000000000006,4.5779327830952781,0.91552000000000011,-148.70546614825386,0,0,0,0,0
2014-01-28 18:00:13.633000000,2014-01-28 23:00:13.633000000,3,22,4096,60.036000000000001,0.002,12194.819640000002,-36.411467880563819,12203.974910000001,-156.40028933686082,12222.285450000001,83.548705685976643,27951.039310000004,-36.044774891680092,28070.057820000002,-156.3143456675912,28088.368360000004,83.749240914272434,12176.509100000001,-35.872887553140842,12213.13018,-155.87316816534047,12194.819640000002,83.817995849688131,0,0,0,0,0,0,0,0,281.5224,-33.260200007344288,298.45952,-154.07408068862969,243.07056000000003,86.974993300858969,286.55776000000003,-69.36227067853747,284.26896000000005,170.26586797902675,288.84656000000001,50.706764869077858,24.719040000000003,10.095516350205106,47.149280000000005,-141.46327961780025,45.318240000000003,102.77716929056707,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,81.296981551112509,0.45776000000000006,4.8357637909041484,0.91552000000000011,-148.52211965381201,0,0,0,0,0
2014-01-28 18:00:13.650000000,2014-01-28 23:00:13.650000000,3,22,4096,60.036000000000001,0,12194.819640000002,-36.205203074316721,12203.974910000001,-156.19402453061372,12222.285450000001,83.754970492223748,27951.039310000004,-35.821321351579073,28070.057820000002,-156.09089212749018,28088.368360000004,83.966964876422153,12176.509100000001,-35.660893168942437,12203.974910000001,-155.66117378114205,12194.819640000002,84.029990233886537,0,0,0,0,0,0,0,0,281.5224,-33.065394356999811,297.08624000000003,-153.8850046162365,243.52832000000001,87.175528529154761,281.98016000000001,-69.71177493356727,278.77584000000002,169.8762566783378,283.81120000000004,50.374449347901979,25.63456,9.2647275472654123,46.233760000000004,-141.26274438950446,45.318240000000003,103.03500029837595,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,82.036097106831278,0.45776000000000006,5.0764060648590936,0.91552000000000011,-148.57368585537378,0,0,0,0,0
2014-01-28 18:00:13.667000000,2014-01-28 23:00:13.667000000,3,22,4096,60.031999999999996,-4.0000000000000001E-3,12194.819640000002,-36.004667846020936,12203.974910000001,-155.99348930231793,12222.285450000001,83.955505720519525,27951.039310000004,-35.643704435088516,28070.057820000002,-155.90181605509702,28088.368360000004,84.156040948815317,12176.509100000001,-35.471817096549266,12203.974910000001,-155.46063855284626,12194.819640000002,84.224795884231014,0,0,0,0,0,0,0,0,281.5224,-32.904966174363182,296.17072000000002,-153.67301023203811,244.90160000000003,87.39898206925578,283.81120000000004,-69.264867853365217,281.98016000000001,170.52942856478691,287.01552000000004,50.786978960396176,25.176800000000004,9.6486092700030639,45.776000000000003,-141.12523451867307,44.860480000000003,103.19542848101257,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,81.950153437561653,0.45776000000000006,5.3399666506192727,0.91552000000000011,-148.21272244444137,0,0,0,0,0
2014-01-28 18:00:13.683000000,2014-01-28 23:00:13.683000000,3,22,4096,60.030999999999999,-0.001,12194.819640000002,-35.804132617725145,12203.974910000001,-155.79295407402216,12222.285450000001,84.156040948815317,27951.039310000004,-35.443169206792724,28070.057820000002,-155.71273998270382,28088.368360000004,84.345117021208495,12176.509100000001,-35.265552290302175,12203.974910000001,-155.2601033245505,12194.819640000002,84.425331112526806,0,0,0,0,0,0,0,0,281.06464,-32.70443094606739,297.08624000000003,-153.46101584783969,244.44384000000002,87.639624343210727,287.93104,-68.623155122818702,284.72672,170.89612155367064,289.30432000000002,51.485987470455775,25.176800000000004,9.9293585896171663,46.691520000000004,-140.98199506989036,45.318240000000003,103.35012708569789,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,82.179336555613986,0.45776000000000006,5.4774765214506704,0.91552000000000011,-148.14396750902566,0,0,0,0,0
2014-01-28 18:00:13.700000000,2014-01-28 23:00:13.700000000,3,22,4096,60.033999999999999,3.0000000000000001E-3,12194.819640000002,-35.59213823352674,12203.974910000001,-155.58095968982374,12222.285450000001,84.379494488916336,27951.039310000004,-35.225445244643012,28070.057820000002,-155.48355686465152,28088.368360000004,84.580029717212128,12176.509100000001,-35.053557906103769,12203.974910000001,-155.05383851830339,12194.819640000002,84.637325496725211,0,0,0,0,0,0,0,0,281.06464,-32.503895717771606,297.54400000000004,-153.24329188568998,243.98608000000002,87.788593369944735,285.18448000000001,-68.89244528653019,281.06464,170.90758070957327,287.47328000000005,51.497446626358396,25.176800000000004,10.296051578500894,46.691520000000004,-140.52362883378572,45.318240000000003,103.63660598326331,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,82.654891525572566,0.45776000000000006,5.6379047040873012,0.91552000000000011,-147.87467734531418,0,0,0,0,0
2014-01-28 18:00:13.717000000,2014-01-28 23:00:13.717000000,3,22,4096,60.036000000000001,0.002,12194.819640000002,-35.391603005230955,12203.974910000001,-155.38042446152795,12222.285450000001,84.580029717212128,27951.039310000004,-35.024910016347228,28070.057820000002,-155.28302163635573,28088.368360000004,84.769105789605305,12176.509100000001,-34.853022677807978,12213.13018,-154.8533032900076,12194.819640000002,84.837860725021002,0,0,0,0,0,0,0,0,281.5224,-32.2919013335732,297.54400000000004,-153.07140454715073,243.07056000000003,88.006317332094454,284.26896000000005,-68.462726940182066,282.43792000000002,171.04509058040466,286.55776000000003,51.377125489380923,25.176800000000004,10.588260054017613,46.233760000000004,-140.56373587944486,45.318240000000003,103.556391891945,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,82.156418243808744,0.45776000000000006,6.0045976929710276,0.91552000000000011,-147.91478439097332,0,0,0,0,0
2014-01-28 18:00:13.733000000,2014-01-28 23:00:13.733000000,3,22,4096,60.033999999999999,-0.002,12194.819640000002,-35.185338198983857,12203.974910000001,-155.17415965528087,12222.285450000001,84.774835367556605,27951.039310000004,-34.812915632148822,28070.057820000002,-155.07102725215731,28088.368360000004,84.975370595852397,12176.509100000001,-34.641028293609573,12203.974910000001,-154.64130890580918,12194.819640000002,85.049855109219408,0,0,0,0,0,0,0,0,282.43792000000002,-32.051259059618253,297.08624000000003,-152.87086931885494,242.61280000000002,88.206852560390246,282.43792000000002,-68.542941031500391,280.60688000000005,171.28573285435962,286.10000000000002,51.549012827920166,25.176800000000004,11.115381225537972,46.233760000000004,-140.3001752936847,45.776000000000003,103.93454403673134,0,0,0,0,0,0,0,0,0,0,0.45776000000000006,82.437167563422847,0.45776000000000006,6.1879441874128913,0.91552000000000011,-147.80019283194716,0,0,0,0,0
