chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,Magnitude17,Angle17,Magnitude18,Angle18,Magnitude19,Angle19,Magnitude20,Angle20,Magnitude21,Angle21,Magnitude22,Angle22,Magnitude23,Angle23,Magnitude24,Angle24,DIModule01
2014-01-28 18:00:13.583000000,2014-01-28 23:00:13.583000000,2,22,4096,60.033999999999999,0.001,12442.011930000001,-43.693761456676583,12487.788280000001,-163.53361388623958,12442.011930000001,76.16900928469164,49731.426640000005,16.66734226035565,49932.842580000004,-103.61368767145808,49713.116100000007,136.36968481908724,0,0,0,0,0,0,323.63632000000001,-52.631903060717427,276.02928000000003,-168.19176076065315,350.64416000000006,60.086083975369434,227.50672000000003,-36.210932652268028,236.20416000000003,-159.3051853581741,221.09808000000001,82.104852042246975,40.740640000000006,-142.57481774035406,36.620800000000003,114.91814496938922,45.318240000000003,-7.9813020861723682,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.600000000,2014-01-28 23:00:13.600000000,2,22,4096,60.036000000000001,0.002,12442.011930000001,-43.470307916575564,12487.788280000001,-163.31016034613856,12442.011930000001,76.409651558646587,49731.426640000005,16.867877488651438,49914.532040000006,-103.40169328725968,49722.271370000002,136.57594962533435,0,0,0,0,0,0,324.55184000000003,-52.39126078676248,274.65600000000001,-168.26051569606886,340.11568000000005,59.788145921901403,230.25328000000002,-35.683811480747671,237.57744000000002,-159.22497126685579,221.09808000000001,82.786671818452646,40.740640000000006,-142.65503183167237,36.163040000000002,115.65726052510799,45.318240000000003,-7.4942879603111683,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.617000000,2014-01-28 23:00:13.617000000,2,22,4096,60.036999999999999,0.001,12442.011930000001,-43.275502266231079,12487.788280000001,-163.10389553989145,12442.011930000001,76.615916364893693,49731.426640000005,17.068412716947226,49914.532040000006,-103.20115805896388,49722.271370000002,136.76502569772751,0,0,0,0,0,0,324.55184000000003,-52.253750915931079,271.45168000000001,-168.11154666933484,339.20016000000004,60.005869884051123,232.99984000000001,-35.500464986305808,238.49296000000001,-158.79525292050766,223.84464000000003,83.520057796220101,40.740640000000006,-142.4716853372305,35.705280000000002,116.15000422892049,45.318240000000003,-7.0416513021578178,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.633000000,2014-01-28 23:00:13.633000000,2,22,4096,60.033999999999999,-3.0000000000000001E-3,12442.011930000001,-43.074967037935295,12487.788280000001,-162.90336031159566,12442.011930000001,76.81645159318947,49731.426640000005,17.27467752319432,49914.532040000006,-102.99489325271679,49722.271370000002,136.97702008192593,0,0,0,0,0,0,323.63632000000001,-52.110511467148378,270.07840000000004,-168.03133257801653,339.20016000000004,60.326726249324381,231.62656000000001,-35.701000214601599,237.11968000000002,-158.57179938040665,223.84464000000003,83.537246530074029,40.740640000000006,-142.4716853372305,35.705280000000002,116.63701835478169,45.776000000000003,-7.2822935761127638,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.650000000,2014-01-28 23:00:13.650000000,2,22,4096,60.031999999999996,-0.002,12442.011930000001,-42.86297265373689,12487.788280000001,-162.69136592739727,12442.011930000001,77.016986821485261,49731.426640000005,17.486671907392726,49914.532040000006,-102.78289886851839,49722.271370000002,137.18901446612432,0,0,0,0,0,0,323.63632000000001,-51.921435394755207,270.07840000000004,-167.75058325840243,345.15104000000002,60.916872778309127,229.33776000000003,-35.65516359099113,235.74640000000002,-158.51450360089356,222.47136,83.376818347437407,40.282880000000006,-141.96175289956409,36.163040000000002,116.48804932804768,45.776000000000003,-7.1734315950379068,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.667000000,2014-01-28 23:00:13.667000000,2,22,4096,60.033999999999999,0.002,12442.011930000001,-42.645248691587177,12487.788280000001,-162.48510112115017,12442.011930000001,77.206062893878439,49731.426640000005,17.698666291591131,49932.842580000004,-102.56517490636867,49722.271370000002,137.40673842827402,0,0,0,0,0,0,321.80528000000004,-51.812573413680347,271.45168000000001,-167.3208649120543,351.55968000000001,61.306484078998089,228.88000000000002,-35.225445244643012,236.20416000000003,-158.3254275285004,221.55584000000002,83.479950750560945,40.740640000000006,-141.80132471692744,36.163040000000002,116.56826341936599,45.318240000000003,-7.0531104580604342,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.683000000,2014-01-28 23:00:13.683000000,2,22,4096,60.036999999999999,3.0000000000000001E-3,12442.011930000001,-42.450443041242693,12487.788280000001,-162.27310673695177,12442.011930000001,77.418057278076844,49731.426640000005,17.904931097838226,49932.842580000004,-102.36463967807288,49722.271370000002,137.60727365656982,0,0,0,0,0,0,323.17856,-51.451610002747927,272.36720000000003,-167.22346208688208,346.52432000000005,61.168974208166688,227.50672000000003,-35.001991704541993,235.28864000000002,-158.45147824342916,219.26704000000001,83.416925393096562,40.740640000000006,-141.4804683516542,36.163040000000002,116.54534510756076,45.318240000000003,-6.6634991573714748,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.700000000,2014-01-28 23:00:13.700000000,2,22,4096,60.034999999999997,-0.002,12442.011930000001,-42.244178234995601,12487.788280000001,-162.07257150865598,12442.011930000001,77.647240396129163,49731.426640000005,18.105466326134014,49914.532040000006,-102.1641044497771,49722.271370000002,137.80780888486561,0,0,0,0,0,0,324.09408000000002,-51.142212793377283,272.82496000000003,-167.07449306014806,339.65792000000005,60.905413622406513,229.79552000000001,-34.560814202291262,237.57744000000002,-157.94154580576273,221.55584000000002,83.949776142568226,40.282880000000006,-141.38306552648194,35.705280000000002,117.01517049956803,45.318240000000003,-6.1650258756076584,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.717000000,2014-01-28 23:00:13.717000000,2,22,4096,60.033999999999999,-0.001,12442.011930000001,-42.04364300669981,12487.788280000001,-161.87203628036019,12442.011930000001,77.847775624424955,49731.426640000005,18.294542398527188,49914.532040000006,-101.97502837738392,49713.116100000007,137.99688495725877,0,0,0,0,0,0,324.55184000000003,-51.061998702058972,270.99392,-167.16043672941768,340.11568000000005,61.426805215975563,233.91536000000002,-34.142555011845758,239.86624000000003,-157.47172041375546,224.76016000000001,84.797753679361847,40.740640000000006,-141.37160637057934,35.705280000000002,117.20997614991251,45.318240000000003,-6.06189347248411,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:13.733000000,2014-01-28 23:00:13.733000000,2,22,4096,60.031999999999996,-0.002,12442.011930000001,-41.831648622501405,12487.788280000001,-161.6715010520644,12442.011930000001,78.05977000862336,49731.426640000005,18.50653678272559,49914.532040000006,-101.7515748372829,49722.271370000002,138.21460891940851,0,0,0,0,0,0,324.09408000000002,-50.775519804493555,270.07840000000004,-166.89114656570621,339.20016000000004,61.627340444271347,231.16880000000003,-34.635298715658266,235.74640000000002,-157.52328661531723,222.92912000000001,84.85504945887493,40.740640000000006,-141.31431059106626,35.705280000000002,117.50791420338054,45.318240000000003,-6.1249188299485002,0,0,0,0,0,0,0,0,0,0,0,0,0
