,Unnamed: 0,chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
14,14,2014-01-28 18:00:13.817000000,2014-01-28 23:00:13.817000000,8,22,4096,60.038,0.002,24801.62643,-41.293068295078434,24884.02386,-161.44231793401207,24948.110750000003,78.46657004316624,0,0,0,0,0,0,412.89952000000005,-90.2809597787638,440.3651200000001,152.51563548587384,454.55568000000005,28.539027775466305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,2014-01-28 18:00:13.833000000,2014-01-28 23:00:13.833000000,8,22,4096,60.039,0.001,24801.62643,-41.063885177026094,24884.02386,-161.21313481595973,24938.95548,78.69575316121858,0,0,0,0,0,0,413.81504,-89.97156256939317,441.7384,152.79638480548795,455.4712,28.82550667303172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,2014-01-28 18:00:13.850000000,2014-01-28 23:00:13.850000000,8,22,4096,60.038,-0.001,24801.62643,-40.84043163692508,24884.02386,-160.99541085381003,24938.95548,78.91920670131958,0,0,0,0,0,0,417.47712,-89.47308928762936,444.48496000000006,152.85941016295234,455.92896,29.14636303830498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,2014-01-28 18:00:13.867000000,2014-01-28 23:00:13.867000000,8,22,4096,60.037,-0.001,24801.62643,-40.62270767477537,24874.86859,-160.771957313709,24938.95548,79.14838981937194,0,0,0,0,0,0,417.47712,-89.18088081211262,445.85824,153.21464399593344,457.30224,29.33543911069815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,2014-01-28 18:00:13.883000000,2014-01-28 23:00:13.883000000,8,22,4096,60.034,-0.003,24801.62643,-40.40498371262566,24874.86859,-160.5656925074619,24938.95548,79.36611378152163,0,0,0,0,0,0,417.47712,-89.09493714284302,445.85824,153.50685247145017,458.67552000000006,29.52451518309132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,2014-01-28 18:00:13.900000000,2014-01-28 23:00:13.900000000,8,22,4096,60.035,0.001,24801.62643,-40.18153017252463,24874.86859,-160.33077981145829,24938.95548,79.58956732162265,0,0,0,0,0,0,418.39264,-88.90013149249853,446.316,153.5297707832554,458.21776000000006,29.68494336572796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,2014-01-28 18:00:13.917000000,2014-01-28 23:00:13.917000000,8,22,4096,60.038,0.003,24801.62643,-39.96380621037492,24884.02386,-160.10159669340595,24938.95548,79.79583212786976,0,0,0,0,0,0,418.8504,-88.59073428312787,446.316,153.7589539013077,457.7600000000001,29.9943405750986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,2014-01-28 18:00:13.933000000,2014-01-28 23:00:13.933000000,8,22,4096,60.039,0.001,24801.62643,-39.73462309232259,24874.86859,-159.88387273125622,24938.95548,80.02501524592206,0,0,0,0,0,0,416.1038400000001,-88.54489765951742,444.0272000000001,154.17721309175323,457.7600000000001,30.18914622544308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,2014-01-28 18:00:13.950000000,2014-01-28 23:00:13.950000000,8,22,4096,60.038,-0.001,24801.62643,-39.51116955222157,24874.86859,-159.6604191911552,24938.95548,80.25992794192572,0,0,0,0,0,0,418.8504,-88.16101593677978,445.85824,154.0855398445323,456.84448,30.429788499398025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,2014-01-28 18:00:13.967000000,2014-01-28 23:00:13.967000000,8,22,4096,60.037,-0.001,24801.62643,-39.28198643416924,24874.86859,-159.43123607310287,24938.95548,80.47765190407544,0,0,0,0,0,0,417.01936,-88.14382720292586,443.11168,154.3548300082438,456.38672,30.664701195401666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
