chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
2014-01-28 18:00:18.100000000,2014-01-28 23:00:18.100000000,12,22,4096,60.039000000000001,-0.001,253308.01036000001,43.848460061361905,260394.18934000001,-75.681995158830446,255505.27516000002,165.61918026051578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.117000000,2014-01-28 23:00:18.117000000,12,22,4096,60.039000000000001,0,253335.47617000001,44.077643179414231,260412.49988000002,-75.452812040778113,255496.11989000003,165.84836337856811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.133000000,2014-01-28 23:00:18.133000000,12,22,4096,60.037999999999997,-0.001,253335.47617000001,44.306826297466564,260439.96569000001,-75.22362892272578,255477.80935000003,166.08900565252304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.150000000,2014-01-28 23:00:18.150000000,12,22,4096,60.036000000000001,-0.002,253381.25252000001,44.524550259616277,260394.18934000001,-75.000175382624761,255459.49881000002,166.30672961467275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.167000000,2014-01-28 23:00:18.167000000,12,22,4096,60.036000000000001,0,253381.25252000001,44.75946295561991,260366.72353000002,-74.770992264572442,255486.96462000001,166.54737188862771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.183000000,2014-01-28 23:00:18.183000000,12,22,4096,60.036999999999999,0.001,253335.47617000001,44.988646073672243,260403.34461000003,-74.530349990617495,255532.74097000001,166.77655500668004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.200000000,2014-01-28 23:00:18.200000000,12,22,4096,60.039000000000001,0.002,253344.63144000003,45.22928834762719,260439.96569000001,-74.295437294613848,255560.20678000001,167.00000854678106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.217000000,2014-01-28 23:00:18.217000000,12,22,4096,60.039999999999999,0.001,253326.32090000002,45.458471465679516,260439.96569000001,-74.083442910415442,255523.58570000003,167.21773250893077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.233000000,2014-01-28 23:00:18.233000000,12,22,4096,60.039000000000001,-0.001,253372.09725000002,45.687654583731849,260439.96569000001,-73.854259792363123,255505.27516000002,167.45837478288573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.250000000,2014-01-28 23:00:18.250000000,12,22,4096,60.039000000000001,0,253399.56306000001,45.916837701784175,260412.49988000002,-73.62507667431079,255505.27516000002,167.69901705684066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.267000000,2014-01-28 23:00:18.267000000,12,22,4096,60.037999999999997,-0.001,253381.25252000001,46.134561663933887,260403.34461000003,-73.384434400355843,255514.43043000001,167.92820017489299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.283000000,2014-01-28 23:00:18.283000000,12,22,4096,60.040999999999997,3.0000000000000001E-3,253335.47617000001,46.375203937888834,260412.49988000002,-73.143792126400896,255578.51732000001,168.15738329294533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.300000000,2014-01-28 23:00:18.300000000,12,22,4096,60.040999999999997,0,253344.63144000003,46.615846211843781,260439.96569000001,-72.914609008348563,255551.05151000002,168.38656641099766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.317000000,2014-01-28 23:00:18.317000000,12,22,4096,60.037999999999997,-3.0000000000000001E-3,253372.09725000002,46.845029329896107,260458.27623000002,-72.702614624150158,255514.43043000001,168.61574952904996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.333000000,2014-01-28 23:00:18.333000000,12,22,4096,60.037999999999997,0,253417.87360000002,47.068482869997133,260458.27623000002,-72.461972350195211,255505.27516000002,168.8449326471023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.350000000,2014-01-28 23:00:18.350000000,12,22,4096,60.039000000000001,0.001,253399.56306000001,47.314854721903387,260421.65515000004,-72.221330076240278,255523.58570000003,169.08557492105726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
