phase_angle	Orig
-123.3347203	-121.7248836
-121.7095177	-120.0231989
-116.4436604	-114.7347985
-114.9639273	-113.2336491
-114.2320179	-112.4143194
-112.6478989	-110.9704658
-108.9057134	-107.2118626
-108.9057134	-106.9253837
-108.9057134	-106.6331753
-106.7950347	-105.183592
-103.4148697	-101.7916819
-99.53289753	-97.92421677
-98.15992705	-96.50328143
-92.69492877	-91.09455985
-87.7767691	-86.0926383
-86.6783654	-84.95245228
-86.28168167	-84.37376491
-85.78264756	-83.81226627
-85.29554579	-83.2335789
-81.81750418	-80.12241807
-81.36167785	-79.5437307
-79.04750047	-77.39513897
-78.60846957	-76.81072202
-77.41718213	-75.7221022
-77.02170735	-75.17206272
-73.78615794	-72.20414134
-71.91482954	-70.27327357
-70.86979011	-69.17319461
-70.46632401	-68.65180301
-68.88924016	-67.25378599
-68.18920041	-66.41153803
-67.4136939	-65.60366754
-63.84054874	-62.3148898
-62.95219384	-61.20335168
-62.55619997	-60.60174599
-62.55619997	-60.31526709
-57.61920263	-55.89203292
-55.55579565	-53.82365527
-55.55579565	-53.50279891
-53.17043746	-51.45161
-51.67876854	-49.97337889
-50.93817113	-49.12540135
-47.97174484	-46.28353069
-43.80839962	-42.13531625
-33.18768427	-31.56424493
-31.26480844	-29.53024476
-31.26480844	-29.25522502
-25.06370018	-23.38240762
-24.60611165	-22.8151794
-22.79170264	-21.14214264
-17.29417046	-15.68185485
-17.29417046	-15.42402384
-12.26517474	-10.65128541
-8.968472097	-7.431262603
0.533140021	2.309019914
1.101984642	3.145538295
8.22042551	9.877792388
14.89772858	16.58712817
16.60026934	18.23724662
21.46560604	23.08446957
25.95379165	27.66813193
25.95379165	27.94888125
27.94626882	29.63910674
33.30840786	34.99626213
38.21442346	39.82629634
41.70562685	43.30987973
47.28329934	48.83892246
49.11143362	50.68957614
55.95444647	57.66820208
55.95444647	57.9489514
58.20862064	59.96576284
58.62116406	60.81946995
62.19731451	63.9249012
73.6497659	75.32676133
73.75815417	75.88825997
80.88943857	82.57467743
82.87008414	84.60867761
86.94397779	88.53916808
88.51789244	90.23512316
91.28721313	92.92802479
91.28721313	93.21450369
94.29729115	95.89594617
97.72614174	99.38525914
101.7662464	103.4246116
105.7705883	107.4181274
105.7705883	107.7046063
109.1527135	110.8558742
111.6573507	113.4399139
118.75389	120.4987539
118.9335922	120.9800384
119.1545352	121.5186188
124.2994845	125.9876896
124.7120279	126.8070192
125.0312163	127.3685179
125.0312163	127.637808
126.9038766	129.0300955
132.8212656	134.5190311
134.7492231	136.5473017
134.9030526	137.1259891
134.9030526	137.3551722
151.3159016	153.0198383
151.4334901	153.5870666
155.4425516	157.1451345
160.6753645	162.3876983
163.8460202	165.6191803
168.49686	170.3690004
170.7020958	172.3858118
172.6716901	174.5000261
176.2264894	178.0351757
176.2264894	178.3273842
-178.9580187	-177.3017897
-177.7080394	-176.144415
-176.4886867	-174.9526627
-174.8490042	-173.2337894
-170.9041055	-169.2803806
-169.6770347	-168.06571
-166.4784298	-164.7826619
-166.4784298	-164.4618055
-164.3343241	-162.9721152
-161.3305708	-159.6604192
-155.9334783	-154.2516976
-150.6827122	-150.4644466
-149.5399704	-147.8345703
-146.0610546	-144.3337982
-136.261427	-134.5534086
-130.2437162	-128.4227602
-126.8568302	-125.0251205
-122.3593419	-120.5617793
-114.9467289	-113.2107307
-114.2604315	-112.351294
-111.7349417	-109.9849784
-111.0468889	-109.0911642
-110.2019331	-108.1629726
-109.7214088	-107.5556373
-106.6071772	-104.7424145
-101.2631415	-99.3451521
-91.8351309	-89.99448088
-89.97048926	-88.10372016
-86.23671854	-84.3508466
-80.93435389	-79.18276729
-78.87145918	-76.9711502
-76.96840455	-75.04028243
-73.55213517	-69.50551013
-71.44772657	-53.59447216
-55.39386553	-47.7101956
-49.58753879	-46.46114761
-48.45104654	-46.14029124
-48.45104654	-45.23501793
-47.34906382	-42.62233038
-44.53931524	-38.772054
-40.68041204	-38.45119763
-40.68041204	-36.17082561
-38.13462295	-34.91031846
-36.88017333	-34.25141699
-36.42066552	-32.31481965
-34.2367262	-29.78234619
-31.6535145	-19.08522416
-20.93016019	-15.02295339
-16.86549242	-13.73379835
-15.75725837	-11.80293058
-13.69934286	-10.5252347
-12.33550179	-9.213161346
-11.3369546	-8.89230498
-11.3369546	5.236834247
3.383490659	7.734930234
5.851268956	9.935088168
8.073296406	16.62723521
14.69086435	14.40988855
14.69086435	15.67612527
14.69086435	16.99965778
15.20121779	23.31938226
14.65149002	27.61656573
21.35434397	33.14560845
25.66393037	39.77473014
31.20361336	42.96610506
37.87358336	58.49899088
41.03961851	59.14643319
56.518101	59.80533466
56.67854898	62.43521094
56.93004337	63.74728429
60.46142193	67.28816346
61.35216056	73.00628226
65.33763741	74.59910493
71.14205511	75.87680081
72.39998471	77.44670517
73.55249717	79.6468631
75.23395997	79.95626031
77.71105785	80.26565752
77.71105785	82.83823802
77.71105785	84.13885221
80.90048981	84.47689731
81.76195425	87.70837928
81.76195425	94.65835733
85.76886424	96.21680254
92.77322323	96.84705611
94.05643136	97.15645332
94.51297487	100.5598226
94.51297487	101.4765551
98.64997947	102.129727
99.16561777	104.2955074
99.48048949	104.5991751
102.4271151	105.2294287
102.4271151	105.5445554
102.5287005	106.799333
102.5287005	111.4001841
103.8841037	116.0067648
109.5552986	123.26614
113.9850246	126.5090812
121.3105391	127.4773798
124.5418879	134.7195664
125.11087	135.6764059
132.8287925	140.7298936
133.3417397	141.9789416
138.7827367	142.9071333
139.6668091	149.4159338
140.5792813	155.0366498
147.4714886	161.0756249
153.0450186	161.6886898
159.1671084	163.2757829
159.3485865	164.2268928
161.0001263	168.5871016
161.8905507	170.5065103
166.4326265	173.3369218
168.5990806	175.5485389
171.4579245	176.1673333
173.6567264	-178.900342
173.8553483	-177.9148545
-179.741619	-172.0936033
-175.5479238	-157.9701937
-173.6339545	-157.001895
-159.8759318	-153.8105201
-159.0527437	-152.9224355
-155.7319467	-152.2921819
-154.9570754	-151.3353424
-153.4719191	-149.6737648
-151.1904857	-149.0205929
-148.020991	-146.0526716
-146.8039606	-144.7520574
-143.0505531	-141.0908571
-141.8141932	-139.7730541
-136.4504457	-134.4731945
-127.0104275	-125.0709571
-117.5746032	-115.5541281
-115.8561412	-113.9040097
-108.4504457	-109.8531981
-103.0304275	-104.4903131
-102.5574603	-101.2015354
-100.1856141	-99.90092116
