chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,Magnitude17,Angle17,Magnitude18,Angle18,Magnitude19,Angle19,Magnitude20,Angle20,Magnitude21,Angle21,Magnitude22,Angle22,Magnitude23,Angle23,Magnitude24,Angle24,DIModule
2014-01-28 18:00:28.383000000,2014-01-28 23:00:28.383000000,1,22,4096,60.015000000000001,-3.0000000000000001E-3,47964.459530000007,-105.9227075858353,48074.322770000006,134.18671561963882,48138.409660000005,13.917144843727696,12762.446380000001,-166.1348422761335,12716.670030000001,74.049065442707601,12780.756920000002,-45.853812344319785,12753.291110000002,-165.89420000217856,12725.8253,74.369921807980859,12716.670030000001,-45.624629226267459,243694.97686000002,-135.53316643819625,243740.75321000002,104.61636381293702,244262.60360000003,-15.395375955165221,368.95456000000001,-171.54356386216847,366.66576000000003,69.568535484784562,373.98992000000004,-51.262533930354756,351.10192000000001,-166.33537750442929,261.83872000000002,75.618969801366049,287.01552000000004,-43.223936064669303,176.23760000000001,174.89536696368381,149.68752000000001,44.616223506837208,160.21600000000001,-74.581916192179264,0,0,0,0,0,0,0
2014-01-28 18:00:28.400000000,2014-01-28 23:00:28.400000000,1,22,4096,60.017000000000003,0.002,47973.614800000003,-105.71071320163689,48074.322770000006,134.39871000383721,48138.409660000005,14.13486880587741,12762.446380000001,-165.92284789193511,12716.670030000001,74.249600671003392,12771.601650000001,-45.641817960121379,12753.291110000002,-165.68220561798017,12725.8253,74.57618661422795,12716.670030000001,-45.412634842069053,243731.59794000001,-135.32117205399783,243740.75321000002,104.8168990412328,244235.13779000001,-15.1719224150642,368.95456000000001,-171.5550230180711,366.20800000000003,69.557076328881948,373.53216000000003,-51.193778994939059,351.55968000000001,-166.11192396432827,260.92320000000001,75.767938828100071,287.93104,-42.960375478909128,178.52640000000002,175.72615576662349,149.68752000000001,44.75946295561991,160.21600000000001,-74.203764047392923,0,0,0,0,0,0,0
2014-01-28 18:00:28.417000000,2014-01-28 23:00:28.417000000,1,22,4096,60.003999999999998,-1.4999999999999999E-2,47964.459530000007,-105.65341742212381,48074.322770000006,134.45600578335029,48138.409660000005,14.186435007439183,12771.601650000001,-165.86555211242202,12716.670030000001,74.31835560641909,12780.756920000002,-45.584522180608296,12753.291110000002,-165.62490983846709,12725.8253,74.644941549643647,12716.670030000001,-45.343879906653349,243713.28740000003,-135.26387627448474,243759.06375000003,104.89711313255113,244280.91414000001,-15.114626635551117,371.24336000000005,-171.16541171738214,368.49680000000001,69.96960594137613,376.27872000000002,-50.844274739909253,351.10192000000001,-166.07181691866913,261.83872000000002,75.905448698931465,287.47328000000005,-42.954645900957821,177.15312,175.78918112408789,148.77200000000002,44.885513670548697,159.75824,-74.180845735587681,0,0,0,0,0,0,0
2014-01-28 18:00:28.433000000,2014-01-28 23:00:28.433000000,1,22,4096,60.020000000000003,9.0000000000000011E-3,47973.614800000003,-105.34402021275316,48074.322770000006,134.76540299272094,48147.56493,14.507291372712444,12771.601650000001,-165.54469574714875,12716.670030000001,74.627752815789734,12780.756920000002,-45.263665815335038,12753.291110000002,-165.30405347319382,12734.980570000002,74.960068336965605,12716.670030000001,-45.034482697282705,243768.21902000002,-134.9430199092115,243777.37429000001,105.19505118601916,244290.06941000003,-14.793770270277857,371.24336000000005,-170.94195817728112,368.03904000000006,70.170141169671922,375.82096000000001,-50.574984576197771,351.55968000000001,-165.76241970929848,261.38096000000002,76.16900928469164,287.93104,-42.610871223879329,177.15312,175.307896576178,149.22976,44.959998183915701,159.75824,-73.733938655385643,0,0,0,0,0,0,0
2014-01-28 18:00:28.450000000,2014-01-28 23:00:28.450000000,1,22,4096,60.017000000000003,-0.002,47991.925340000002,-105.01170469157729,48083.478040000002,135.08625935799421,48147.56493,14.828147737985706,12771.601650000001,-165.23529853777811,12716.670030000001,74.948609181062992,12780.756920000002,-44.954268605964394,12753.291110000002,-164.99465626382317,12734.980570000002,75.275195124287563,12725.8253,-44.725085487912061,243768.21902000002,-134.63362269984086,243804.84010000003,105.51590755129241,244308.37995000003,-14.484373060907211,369.87008000000003,-170.83309619620627,367.12352000000004,70.347758086162486,374.90544000000006,-50.483311328976839,351.10192000000001,-165.45302249992784,261.83872000000002,76.478406494062284,287.93104,-42.221259923190367,175.32208000000003,175.76626281228266,148.31424000000001,45.389716530263819,159.75824,-73.372975244453229,0,0,0,0,0,0,0
2014-01-28 18:00:28.467000000,2014-01-28 23:00:28.467000000,1,22,4096,60.017000000000003,0,47991.925340000002,-104.8111694632815,48083.478040000002,135.28679458629,48147.56493,15.028682966281494,12771.601650000001,-165.03476330948234,12716.670030000001,75.149144409358783,12780.756920000002,-44.753733377668603,12753.291110000002,-164.79412103552738,12734.980570000002,75.470000774632041,12725.8253,-44.524550259616277,243786.52956000002,-134.43308747154506,243832.30591000002,105.71644277958819,244317.53522000002,-14.283837832611423,368.49680000000001,-170.83309619620627,365.29248000000001,70.324839774357244,373.07440000000003,-50.443204283317677,351.10192000000001,-165.29259431729119,262.29648000000003,76.678941722358076,287.01552000000004,-42.123857098018128,178.06864000000002,176.48818963414749,149.22976,45.595981336510917,160.21600000000001,-73.132332970498283,0,0,0,0,0,0,0
2014-01-28 18:00:28.483000000,2014-01-28 23:00:28.483000000,1,22,4096,60.015999999999998,0.001,47973.614800000003,-104.52469056571609,48083.478040000002,135.58473263975802,48156.720200000003,15.315161863846905,12771.601650000001,-164.74255483396561,12716.670030000001,75.435623306924185,12780.756920000002,-44.450065746249265,12762.446380000001,-164.50191256001065,12734.980570000002,75.767938828100071,12725.8253,-44.220882628196939,243768.21902000002,-134.14087899602833,243795.68483000001,106.02011041100754,244335.84576000003,-13.991629357094704,368.49680000000001,-170.34035249239375,365.75024000000002,70.874879257682835,373.98992000000004,-49.933271845651248,351.55968000000001,-164.97173795201795,262.29648000000003,76.976879775826106,287.93104,-41.854566934306639,175.77984000000001,176.2876544058517,148.77200000000002,45.899648967930254,160.21600000000001,-72.943256898105105,0,0,0,0,0,0,0
2014-01-28 18:00:28.500000000,2014-01-28 23:00:28.500000000,1,22,4096,60.017000000000003,-0.002,48001.080610000005,-104.21529335634544,48083.478040000002,135.88840027117735,48156.720200000003,15.636018229120166,12771.601650000001,-164.42169846869234,12725.8253,75.745020516294829,12780.756920000002,-44.152127692781242,12753.291110000002,-164.18105619473741,12734.980570000002,76.065876881568101,12725.8253,-43.922944574728909,243804.84010000003,-133.82002263075509,243841.46118000001,106.30658930857295,244299.22468000001,-13.68223214772406,368.95456000000001,-169.93355245785088,365.75024000000002,71.178546889102179,373.53216000000003,-49.595226746524062,351.10192000000001,-164.6737998985499,261.83872000000002,77.269088251342822,287.47328000000005,-41.470685211568984,176.23760000000001,176.36786849717001,148.77200000000002,46.088725040323425,159.75824,-72.662507578491002,0,0,0,0,0,0,0
2014-01-28 18:00:28.517000000,2014-01-28 23:00:28.517000000,1,22,4096,60.015999999999998,0.001,47991.925340000002,-104.02048770600096,48083.478040000002,136.08893549947314,48156.720200000003,15.81936472356203,12771.601650000001,-164.23262239629918,12716.670030000001,75.939826166639321,12780.756920000002,-43.951592464485451,12753.291110000002,-164.00343927824684,12734.980570000002,76.266412109863879,12725.8253,-43.710950190530504,243786.52956000002,-133.64240571426453,243795.68483000001,106.51858369277136,244326.69049000001,-13.481696919428272,368.95456000000001,-169.750205963409,366.20800000000003,71.465025786667582,374.44768000000005,-49.360314050520422,351.10192000000001,-164.44461678049757,260.46544,77.475353057589928,286.55776000000003,-41.350364074591518,178.06864000000002,177.35908548274634,148.77200000000002,46.249153222960054,159.30048000000002,-72.444783616341297,0,0,0,0,0,0,0
2014-01-28 18:00:28.533000000,2014-01-28 23:00:28.533000000,1,22,4096,60.015000000000001,-0.002,47991.925340000002,-103.72254965253293,48101.78858,136.37541439703855,48156.720200000003,16.105843621127441,12771.601650000001,-163.94041392078245,12716.670030000001,76.237764220107337,12780.756920000002,-43.665113566920041,12762.446380000001,-163.70550122477883,12734.980570000002,76.570079741283223,12725.8253,-43.424471292965094,243786.52956000002,-133.34446766079648,243850.61645000003,106.81652174623937,244345.00103000001,-13.195218021862859,369.87008000000003,-169.21162563598602,367.58128000000005,71.889014555064392,374.44768000000005,-48.924866126220998,351.55968000000001,-164.13521957112692,262.29648000000003,77.859234780327569,287.47328000000005,-41.075344332928722,175.77984000000001,176.94655587025215,148.31424000000001,46.518443386671542,159.30048000000002,-72.135386406970653,0,0,0,0,0,0,0
