chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,DIModule01
2014-01-28 18:00:13.583000000,2014-01-28 23:00:13.583000000,4,22,4096,60.033000000000001,-0.001,12789.912190000001,-103.4933665344806,12762.446380000001,16.535561967475559,12753.291110000002,136.58740878123695,128.63056,-132.81161691132482,178.52640000000002,-10.874738951583025,164.79360000000003,110.25999809497563,0,0,0,0,0
2014-01-28 18:00:13.600000000,2014-01-28 23:00:13.600000000,4,22,4096,60.036000000000001,3.0000000000000001E-3,12789.912190000001,-103.28137215028219,12762.446380000001,16.747556351673964,12753.291110000002,136.78794400953274,128.63056,-132.47357181219763,178.52640000000002,-10.571071320163689,166.16688000000002,110.90744040347346,0,0,0,0,0
2014-01-28 18:00:13.617000000,2014-01-28 23:00:13.617000000,4,22,4096,60.036999999999999,0.001,12789.912190000001,-103.0751073440351,12762.446380000001,16.948091579969752,12753.291110000002,136.99993839373116,129.08832000000001,-132.24438869414533,178.52640000000002,-10.393454403673134,165.25136000000001,110.85014462396038,0,0,0,0,0
2014-01-28 18:00:13.633000000,2014-01-28 23:00:13.633000000,4,22,4096,60.034999999999997,-0.002,12789.912190000001,-102.8631129598367,12762.446380000001,17.165815542119464,12753.291110000002,137.20620319997823,129.08832000000001,-131.97509853043383,178.52640000000002,-10.072598038399873,164.79360000000003,110.96473618298654,0,0,0,0,0
2014-01-28 18:00:13.650000000,2014-01-28 23:00:13.650000000,4,22,4096,60.033999999999999,-0.001,12789.912190000001,-102.64538899768699,12762.446380000001,17.37780992631787,12753.291110000002,137.42965674007925,129.08832000000001,-131.90061401706683,178.52640000000002,-9.9637360573250167,164.79360000000003,111.19964887899017,0,0,0,0,0
2014-01-28 18:00:13.667000000,2014-01-28 23:00:13.667000000,4,22,4096,60.034999999999997,0.001,12789.912190000001,-102.4448537693912,12762.446380000001,17.589804310516275,12753.291110000002,137.63019196837504,129.08832000000001,-131.70007878877104,178.52640000000002,-9.7116346274674541,164.79360000000003,111.45747988679905,0,0,0,0,0
2014-01-28 18:00:13.683000000,2014-01-28 23:00:13.683000000,4,22,4096,60.034999999999997,0,12789.912190000001,-102.22140022929018,12762.446380000001,17.79606911676337,12753.291110000002,137.83645677462215,128.63056,-131.52246187228047,178.98416,-9.5225585550742817,164.79360000000003,111.70958131665661,0,0,0,0,0
2014-01-28 18:00:13.700000000,2014-01-28 23:00:13.700000000,4,22,4096,60.034999999999997,0,12789.912190000001,-102.02086500099439,12762.446380000001,18.008063500961775,12753.291110000002,138.04845115882057,129.08832000000001,-131.21306466290983,178.98416,-9.3048345929245695,166.16688000000002,112.11638135119949,0,0,0,0,0
2014-01-28 18:00:13.717000000,2014-01-28 23:00:13.717000000,4,22,4096,60.036000000000001,0.001,12789.912190000001,-101.8146001947473,12762.446380000001,18.208598729257563,12753.291110000002,138.25471596506765,128.63056,-130.99534070076012,178.06864000000002,-9.3220233267784938,165.70912000000001,112.14502924095603,0,0,0,0,0
2014-01-28 18:00:13.733000000,2014-01-28 23:00:13.733000000,4,22,4096,60.036999999999999,0.001,12789.912190000001,-101.60260581054889,12762.446380000001,18.414863535504658,12753.291110000002,138.46671034926607,128.63056,-130.84064209607479,178.52640000000002,-8.9725190717486925,164.79360000000003,112.22524333227435,0,0,0,0,0
2014-01-28 18:00:13.750000000,2014-01-28 23:00:13.750000000,4,22,4096,60.033999999999999,-3.0000000000000001E-3,12789.912190000001,-101.38488184839917,12762.446380000001,18.638317075605681,12753.291110000002,138.67870473346446,129.08832000000001,-130.53124488670414,178.52640000000002,-8.6917697521345882,164.79360000000003,112.44869687237538,0,0,0,0,0
2014-01-28 18:00:13.767000000,2014-01-28 23:00:13.767000000,4,22,4096,60.033999999999999,0,12789.912190000001,-101.17288746420077,12762.446380000001,18.856041037755393,12753.291110000002,138.89642869561416,128.63056,-130.43384206153192,178.98416,-8.4855049458874916,164.79360000000003,112.63777294476854,0,0,0,0,0
2014-01-28 18:00:13.783000000,2014-01-28 23:00:13.783000000,4,22,4096,60.034999999999997,0.001,12789.912190000001,-100.96089308000236,12762.446380000001,19.056576266051181,12753.291110000002,139.11988223571518,129.08832000000001,-130.07287865059951,178.98416,-8.1818373144681562,165.25136000000001,112.97581804389573,0,0,0,0,0
2014-01-28 18:00:13.800000000,2014-01-28 23:00:13.800000000,4,22,4096,60.036999999999999,0.002,12789.912190000001,-100.74316911785266,12762.446380000001,19.280029806152204,12753.291110000002,139.32614704196229,128.63056,-130.02131244903771,178.98416,-8.10162322314984,165.70912000000001,113.29667440916899,0,0,0,0,0
2014-01-28 18:00:13.817000000,2014-01-28 23:00:13.817000000,4,22,4096,60.036999999999999,0,12789.912190000001,-100.53117473365425,12762.446380000001,19.474835456496681,12753.291110000002,139.53814142616071,129.08832000000001,-129.63170114834875,178.98416,-7.7635781240226551,166.16688000000002,113.45710259180562,0,0,0,0,0
2014-01-28 18:00:13.833000000,2014-01-28 23:00:13.833000000,4,22,4096,60.036000000000001,-0.001,12789.912190000001,-100.32490992740715,12762.446380000001,19.698288996597704,12753.291110000002,139.7501358103591,129.08832000000001,-129.42543634210168,178.98416,-7.6203386752399496,164.79360000000003,113.39980681229254,0,0,0,0,0
