index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-14 11:50:06.709018
1,24801.626953125,-44.22088157361573,False,2023-06-14 11:50:06.728088
2,24801.626953125,-44.01461669087051,False,2023-06-14 11:50:06.746640
3,24792.470703125,-43.79116363707896,False,2023-06-14 11:50:06.763457
4,24801.626953125,-43.561980054573766,False,2023-06-14 11:50:06.780644
5,24801.626953125,-43.33279647206857,False,2023-06-14 11:50:06.798567
6,24801.626953125,-43.10361630465797,False,2023-06-14 11:50:06.815961
7,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:07.710084
8,24801.626953125,-42.67389495302662,False,2023-06-14 11:50:06.850541
9,24801.626953125,-42.433253728188724,False,2023-06-14 11:50:06.868340
10,24801.626953125,-42.19261250335084,False,2023-06-14 11:50:06.888067
11,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:07.710190
12,24810.78125,-41.73424533834045,False,2023-06-14 11:50:06.923557
13,24810.78125,-41.50506175583526,False,2023-06-14 11:50:06.941484
14,24801.626953125,-41.29306975947099,False,2023-06-14 11:50:06.959885
15,24801.626953125,-41.063886176965795,False,2023-06-14 11:50:06.977228
16,24801.626953125,-40.84043312317424,False,2023-06-14 11:50:06.994404
17,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:07.710216
18,24801.626953125,-40.40498465792383,False,2023-06-14 11:50:07.032517
19,24801.626953125,-40.18153160413228,False,2023-06-14 11:50:07.049730
20,24801.626953125,-39.96380566395979,False,2023-06-14 11:50:07.067726
21,24801.626953125,-39.734622081454596,False,2023-06-14 11:50:07.092576
22,24801.626953125,-39.511169027663044,False,2023-06-14 11:50:07.107684
23,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:07.710250
24,24801.626953125,-39.06426292007994,False,2023-06-14 11:50:07.150859
25,24801.626953125,-38.823621695242046,False,2023-06-14 11:50:07.166350
26,24801.626953125,-39.06426292007994,False,2023-06-14 11:50:07.184412
27,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:07.710266
28,24801.626953125,-38.611626283783195,False,2023-06-14 11:50:07.261937
29,24801.626953125,-38.393900343610696,False,2023-06-14 11:50:07.363159
30,24801.626953125,-38.18190834724643,False,2023-06-14 11:50:07.379835
31,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:07.710282
32,24792.470703125,-37.740729353282376,False,2023-06-14 11:50:07.467023
33,24792.470703125,-37.51154577077718,False,2023-06-14 11:50:07.484429
34,24792.470703125,-37.31101141674561,False,2023-06-14 11:50:07.502314
35,24792.470703125,-37.10474653400039,False,2023-06-14 11:50:07.593125
36,24792.470703125,-36.88129348020884,False,2023-06-14 11:50:07.609758
37,24792.470703125,-36.66357095513093,False,2023-06-14 11:50:07.627191
38,24792.470703125,-36.474494243432055,False,2023-06-14 11:50:07.653493
39,24792.470703125,-36.23384960349958,False,2023-06-14 11:50:07.668819
40,24792.470703125,-36.02185760713531,False,2023-06-14 11:50:07.695500
41,24792.470703125,-35.81559272439009,False,2023-06-14 11:50:07.713188
42,24792.470703125,-35.603597312931235,False,2023-06-14 11:50:07.730259
43,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:08.900591
44,24783.31640625,-35.17387937639447,False,2023-06-14 11:50:07.897977
45,24783.31640625,-34.944695793889274,False,2023-06-14 11:50:07.912727
46,24783.31640625,-34.72124274009772,False,2023-06-14 11:50:07.929903
47,24783.31640625,-34.51497785735251,False,2023-06-14 11:50:08.040568
48,24783.31640625,-34.302982445893655,False,2023-06-14 11:50:08.054963
49,24783.31640625,-34.07379886338846,False,2023-06-14 11:50:08.072286
50,24783.31640625,-33.85034580959691,False,2023-06-14 11:50:08.125472
51,24783.31640625,-33.621162227091716,False,2023-06-14 11:50:08.141135
52,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:08.900701
53,24884.19140625,-88.91304619996234,True,2023-06-14 11:50:08.900723
54,24911.904296875,-88.5600347028994,True,2023-06-14 11:50:08.900738
55,24948.935546875,-88.20280897911856,True,2023-06-14 11:50:08.900783
56,24783.31640625,-32.51535460046665,False,2023-06-14 11:50:08.396694
57,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:08.900801
58,24884.19140625,-88.91304619996234,True,2023-06-14 11:50:08.900815
59,24783.31640625,-31.833534381664712,False,2023-06-14 11:50:08.598387
60,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:08.900828
61,24884.19140625,-88.91304619996234,True,2023-06-14 11:50:08.900843
62,24911.904296875,-88.5600347028994,True,2023-06-14 11:50:08.900857
63,24774.16015625,-30.962640866258482,False,2023-06-14 11:50:08.750802
64,24783.31640625,-30.73345728375329,False,2023-06-14 11:50:08.793000
65,24774.16015625,-30.515731343580793,False,2023-06-14 11:50:08.809661
66,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:09.996753
67,24884.19140625,-88.91304619996234,True,2023-06-14 11:50:09.996842
68,24774.16015625,-29.862560353252473,False,2023-06-14 11:50:08.994441
69,24774.16015625,-29.644837828174563,False,2023-06-14 11:50:09.011158
70,24774.16015625,-29.432842416715708,False,2023-06-14 11:50:09.117978
71,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:09.996869
72,24765.005859375,-29.00312448017894,False,2023-06-14 11:50:09.146210
73,24765.005859375,-28.785398540006444,False,2023-06-14 11:50:09.233469
74,24765.005859375,-28.550486136334904,False,2023-06-14 11:50:09.252741
75,24765.005859375,-28.33276361125699,False,2023-06-14 11:50:09.359000
76,24865.755859375,-89.26145414952468,True,2023-06-14 11:50:09.996883
