index,magnitude,phase_angle,is_predicted,received_at
4,19022.072265625,-29.073110013509474,True,2023-09-19 21:06:18.589165
11,24797.671875,-43.73968108620999,True,2023-09-19 21:06:18.631788
13,24797.517578125,-43.409414119083195,True,2023-09-19 21:06:18.673961
19,24803.9140625,-42.53294033912506,True,2023-09-19 21:06:18.714244
27,24801.06640625,-40.62081180550707,True,2023-09-19 21:06:18.756345
33,24801.62890625,-39.584692598983644,True,2023-09-19 21:06:18.798466
41,24791.376953125,-38.30241337477296,True,2023-09-19 21:06:18.841354
48,24789.94140625,-37.06277843664525,True,2023-09-19 21:06:18.888290
53,24789.96875,-36.0026818510405,True,2023-09-19 21:06:18.929995
57,24790.896484375,-35.70429479186473,True,2023-09-19 21:06:18.974432
65,24787.73828125,-33.81772824121551,True,2023-09-19 21:06:19.782193
68,24787.73828125,-33.81772824121551,True,2023-09-19 21:06:19.782470
72,24783.716796875,-32.853739247422006,True,2023-09-19 21:06:19.817840
77,24778.55078125,-31.888708649780078,True,2023-09-19 21:06:19.852067
80,24782.9140625,-31.60581587473649,True,2023-09-19 21:06:19.886373
85,24777.74609375,-30.61495350165357,True,2023-09-19 21:06:19.921877
88,24778.55078125,-30.29408487482471,True,2023-09-19 21:06:19.954931
117,24765.58984375,-24.18846095498713,True,2023-09-19 21:06:20.779518
120,24765.58984375,-24.18846095498713,True,2023-09-19 21:06:20.780310
155,24774.263671875,-15.802856710949468,True,2023-09-19 21:06:20.828615
161,24772.568359375,-14.71465218936282,True,2023-09-19 21:06:20.873569
180,24772.1171875,-11.37201908126111,True,2023-09-19 21:06:22.128952
182,24772.1171875,-11.37201908126111,True,2023-09-19 21:06:22.130057
183,24772.1171875,-11.37201908126111,True,2023-09-19 21:06:22.130711
187,24771.0390625,-10.656482487395051,True,2023-09-19 21:06:22.178672
193,24768.75390625,-9.489683832802712,True,2023-09-19 21:06:22.226123
206,24768.21875,-6.476903611609365,True,2023-09-19 21:06:22.274125
211,24763.025390625,-5.774796023425197,True,2023-09-19 21:06:22.321198
214,24763.025390625,-5.774796023425197,True,2023-09-19 21:06:22.322214
215,24763.025390625,-5.774796023425197,True,2023-09-19 21:06:22.322826
232,24767.609375,-1.5289953687067706,True,2023-09-19 21:06:22.369409
235,24768.8515625,-1.2358775870322618,True,2023-09-19 21:06:22.414735
237,24768.8515625,-1.2358775870322618,True,2023-09-19 21:06:22.415431
240,24769.939453125,-1.0476692698533274,True,2023-09-19 21:06:22.462441
265,24783.3203125,4.817422921616496,True,2023-09-19 21:06:23.666642
276,24783.3203125,7.125333169993226,True,2023-09-19 21:06:23.718255
279,24785.982421875,7.383649643742639,True,2023-09-19 21:06:23.766897
283,24783.310546875,7.803145348412836,True,2023-09-19 21:06:23.815665
285,24783.310546875,7.803145348412836,True,2023-09-19 21:06:23.816186
289,24779.822265625,8.609032538393471,True,2023-09-19 21:06:23.867772
296,24779.046875,10.590270633580946,True,2023-09-19 21:06:23.915363
305,24776.20703125,12.420877444360254,True,2023-09-19 21:06:23.963651
307,24776.20703125,12.420877444360254,True,2023-09-19 21:06:23.964173
309,24776.20703125,12.420877444360254,True,2023-09-19 21:06:23.964742
323,24759.841796875,15.184075723092164,True,2023-09-19 21:06:24.673931
325,24759.841796875,15.184075723092164,True,2023-09-19 21:06:24.674704
326,24759.841796875,15.184075723092164,True,2023-09-19 21:06:24.675387
330,24755.853515625,15.675304635746773,True,2023-09-19 21:06:24.721676
336,24759.4921875,17.064891254460235,True,2023-09-19 21:06:24.763701
338,24759.4921875,17.064891254460235,True,2023-09-19 21:06:24.764372
341,24768.009765625,17.364292596727744,True,2023-09-19 21:06:24.806577
343,24763.28125,17.7468190487416,True,2023-09-19 21:06:24.849217
346,24763.26171875,17.907885154654256,True,2023-09-19 21:06:24.890722
362,24761.71875,22.600511982398157,True,2023-09-19 21:06:24.934140
366,24765.009765625,22.804645846122327,True,2023-09-19 21:06:24.976385
373,24765.78515625,24.497643128146095,True,2023-09-19 21:06:25.018112
377,24756.302734375,25.2597829564928,True,2023-09-19 21:06:25.060006
390,24755.42578125,27.89904659896118,True,2023-09-19 21:06:25.833430
394,24758.6953125,28.223943329853054,True,2023-09-19 21:06:25.883104
396,24758.6953125,28.223943329853054,True,2023-09-19 21:06:25.883919
405,24750.361328125,30.498297285724338,True,2023-09-19 21:06:25.933529
409,24747.9140625,30.914470957136967,True,2023-09-19 21:06:25.982246
411,24741.52734375,31.110193442898268,True,2023-09-19 21:06:26.029615
415,24737.541015625,31.798656020668044,True,2023-09-19 21:06:26.077542
421,24737.53125,33.416365835018055,True,2023-09-19 21:06:26.125824
426,24737.525390625,34.232658818199205,True,2023-09-19 21:06:26.173849
432,24730.107421875,35.50579583420583,True,2023-09-19 21:06:26.222094
448,24716.76171875,38.85133860289396,True,2023-09-19 21:06:26.271284
453,24714.380859375,39.87704177093311,True,2023-09-19 21:06:26.968188
462,24715.529296875,41.43893869448036,True,2023-09-19 21:06:27.017682
469,24718.197265625,42.55885066174151,True,2023-09-19 21:06:27.064565
471,24723.66015625,42.90347468650367,True,2023-09-19 21:06:27.112934
481,24725.208984375,45.374439052728356,True,2023-09-19 21:06:27.159675
484,24725.208984375,45.374439052728356,True,2023-09-19 21:06:27.160405
495,24728.388671875,48.36044066350701,True,2023-09-19 21:06:27.209299
498,24728.388671875,48.36044066350701,True,2023-09-19 21:06:27.210015
506,24725.79296875,50.50968262925659,True,2023-09-19 21:06:27.259007
518,24733.392578125,52.93945070950234,True,2023-09-19 21:06:28.142154
534,24739.279296875,56.136904731700845,True,2023-09-19 21:06:28.194956
542,24737.546875,57.90955397227801,True,2023-09-19 21:06:28.245942
548,24734.830078125,58.56915900080448,True,2023-09-19 21:06:28.293637
552,24732.5546875,59.21526757553101,True,2023-09-19 21:06:28.339875
562,24731.326171875,61.671902204877,True,2023-09-19 21:06:28.387572
569,24738.912109375,63.074686456614224,True,2023-09-19 21:06:28.434418
571,24738.912109375,63.074686456614224,True,2023-09-19 21:06:28.435744
581,24755.78515625,65.73628140257397,True,2023-09-19 21:06:29.415344
584,24755.78515625,65.73628140257397,True,2023-09-19 21:06:29.415745
585,24755.78515625,65.73628140257397,True,2023-09-19 21:06:29.416195
589,24754.861328125,65.80157801103928,True,2023-09-19 21:06:29.456676
591,24754.861328125,65.80157801103928,True,2023-09-19 21:06:29.456972
597,24757.9296875,67.9024075959518,True,2023-09-19 21:06:29.494530
599,24757.9296875,67.9024075959518,True,2023-09-19 21:06:29.494900
608,24761.98828125,70.1809518728789,True,2023-09-19 21:06:29.534466
613,24762.05078125,70.87791803616533,True,2023-09-19 21:06:29.571941
616,24762.05078125,70.87791803616533,True,2023-09-19 21:06:29.572348
618,24761.4609375,71.07411522007395,True,2023-09-19 21:06:29.609810
627,24760.734375,73.52760113221257,True,2023-09-19 21:06:29.649720
635,24754.314453125,75.44111960932666,True,2023-09-19 21:06:30.541131
638,24754.314453125,75.44111960932666,True,2023-09-19 21:06:30.541531
640,24756.115234375,75.54088818253304,True,2023-09-19 21:06:30.584250
646,24755.845703125,76.5062739500118,True,2023-09-19 21:06:30.622157
650,24752.45703125,77.73922554803666,True,2023-09-19 21:06:30.660398
660,24750.244140625,80.17879836483596,True,2023-09-19 21:06:30.698878
665,24737.67578125,80.80897893841802,True,2023-09-19 21:06:30.738006
671,24731.322265625,81.78193938568633,True,2023-09-19 21:06:30.776461
675,24738.798828125,82.328982896691,True,2023-09-19 21:06:30.814063
679,24722.453125,82.45109301867248,True,2023-09-19 21:06:30.849853
681,24722.453125,82.45109301867248,True,2023-09-19 21:06:30.850495
684,24720.220703125,82.71866567940774,True,2023-09-19 21:06:30.887609
688,24705.607421875,83.44287063710419,True,2023-09-19 21:06:30.924317
690,24708.091796875,83.8569303649687,True,2023-09-19 21:06:30.960922
694,24698.88671875,84.79077431886036,True,2023-09-19 21:06:30.996361
