index,magnitude,phase_angle,is_predicted,received_at
0,24801.626953125,-44.45006515612092,False,2023-06-09 09:56:25.003388
1,24801.626953125,-44.22088157361573,False,2023-06-09 09:56:25.023230
2,24801.626953125,-44.01461669087051,False,2023-06-09 09:56:25.040318
3,24792.470703125,-43.79116363707896,False,2023-06-09 09:56:25.061006
4,24801.626953125,-43.561980054573766,False,2023-06-09 09:56:25.081559
5,24801.626953125,-43.33279647206857,False,2023-06-09 09:56:25.100883
6,24792.470703125,-43.103356757469506,True,2023-06-09 09:56:26.140514
7,24801.626953125,-42.89162089319911,False,2023-06-09 09:56:25.137718
8,24801.626953125,-42.67389495302662,False,2023-06-09 09:56:25.155874
9,24801.626953125,-42.433253728188724,False,2023-06-09 09:56:25.173702
10,24801.626953125,-42.19261250335084,False,2023-06-09 09:56:25.192762
11,24801.626953125,-41.95196786341836,True,2023-06-09 09:56:26.140819
12,24810.78125,-41.73424533834045,False,2023-06-09 09:56:25.232867
13,24810.78125,-41.50506175583526,False,2023-06-09 09:56:25.250561
14,24801.626953125,-41.29306975947099,False,2023-06-09 09:56:25.268970
15,24783.236328125,-41.098050783194196,True,2023-06-09 09:56:26.141190
16,24801.626953125,-40.84043312317424,False,2023-06-09 09:56:25.306228
17,24801.626953125,-40.622707183001744,False,2023-06-09 09:56:25.327380
18,24801.626953125,-40.40498465792383,False,2023-06-09 09:56:25.348781
19,24801.626953125,-40.18153160413228,False,2023-06-09 09:56:25.367759
20,24801.626953125,-39.96380566395979,False,2023-06-09 09:56:25.387146
21,24801.599609375,-39.75180342231176,True,2023-06-09 09:56:26.141771
22,24801.626953125,-39.511169027663044,False,2023-06-09 09:56:25.429049
23,24801.626953125,-39.28198544515785,False,2023-06-09 09:56:25.451928
24,24801.626953125,-39.06426292007994,False,2023-06-09 09:56:25.471019
25,24801.626953125,-38.823621695242046,False,2023-06-09 09:56:25.494582
26,24801.626953125,-39.06426292007994,False,2023-06-09 09:56:25.513340
27,24801.626953125,-38.83507933757475,False,2023-06-09 09:56:25.531479
28,24801.626953125,-38.611626283783195,False,2023-06-09 09:56:25.548533
29,24801.626953125,-38.393900343610696,False,2023-06-09 09:56:25.566714
30,24801.626953125,-38.18190834724643,False,2023-06-09 09:56:25.585029
31,24792.470703125,-37.96418240707393,False,2023-06-09 09:56:25.603206
32,24792.470703125,-37.740729353282376,False,2023-06-09 09:56:25.621780
33,24792.470703125,-37.51154577077718,False,2023-06-09 09:56:25.641093
34,24792.470703125,-37.31101141674561,False,2023-06-09 09:56:25.660252
35,24792.470703125,-37.10474653400039,False,2023-06-09 09:56:25.678629
36,24792.470703125,-36.88129348020884,False,2023-06-09 09:56:25.696756
37,24792.470703125,-36.66357095513093,False,2023-06-09 09:56:25.714921
38,24792.470703125,-36.474494243432055,False,2023-06-09 09:56:25.732415
39,24792.470703125,-36.23384960349958,False,2023-06-09 09:56:25.750024
40,24792.470703125,-36.02185760713531,False,2023-06-09 09:56:25.768374
41,24792.470703125,-35.81559272439009,False,2023-06-09 09:56:25.786515
42,24792.470703125,-35.603597312931235,False,2023-06-09 09:56:25.804642
43,24783.31640625,-35.38014425913968,False,2023-06-09 09:56:25.822314
44,24783.31640625,-35.17387937639447,False,2023-06-09 09:56:25.840326
